id,title,year,rated,released,runtime,plot,language,country,awards,metascore,imdb_rating,imdb_votes,tomato_meter,tomato_rating,tomato_consensus,wiki_title,imdb_id,rt_title,created,updated
61,"200 Cigarettes",1999,R,"26 Feb 1999","101 min",,,USA,N/A,33,5.8,"11,960",28,4.5,"A clumsy and scattered comedy with a poorly executed script.","200 Cigarettes",tt0137338,200_cigarettes,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:17 +0100"
62,"200 Motels",1971,TV-MA,"20 Nov 1971","98 min",,,USA,N/A,N/A,5.9,"1,381",67,6.2,N/A,"200 Motels",tt0066732,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:17 +0100"
63,"200 Pounds Beauty",2006,N/A,"14 Dec 2006","120 min",,,"South Korea","2 wins & 3 nominations.",N/A,7.0,"3,340",82,N/A,N/A,"200 Pounds Beauty",tt0940642,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:18 +0100"
64,2010,1984,PG,"07 Dec 1984","116 min",,,USA,"Nominated for 5 Oscars. Another 1 win & 3 nominations.",N/A,6.8,"34,843",66,5.8,N/A,"2010 (film)",tt0086837,2010_the_year_we_make_contact,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:18 +0100"
65,2012,2009,PG-13,"13 Nov 2009","158 min",,,USA,"4 wins & 16 nominations.",49,5.8,"213,133",39,5.0,"Roland Emmerich's 2012 provides plenty of visual thrills, but lacks a strong enough script to support its massive scope and inflated length.","2012 (film)",tt1190080,2012,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:18 +0100"
66,"2019: After the Fall of New York",1983,R,"01 Dec 1984","96 min",,,"Italy, France",N/A,N/A,5.7,"1,531",N/A,N/A,N/A,"2019, After the Fall of New York",tt0085125,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:18 +0100"
67,2046,2004,R,"29 Sep 2004","129 min",,,"Hong Kong, China, France, Italy, Germany","32 wins & 31 nominations.",78,7.5,"35,270",85,7.4,"Director Wong Kar-Wai has created in 2046 another visually stunning, atmospheric, and melancholy movie about unrequited love and loneliness.","2046 (film)",tt0212712,2046,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:19 +0100"
68,"20 Dates",1998,R,"26 Feb 1999","87 min",,,USA,"1 win & 1 nomination.",36,5.3,"1,609",38,4.8,N/A,"20 Dates",tt0138987,20_dates,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:19 +0100"
69,"20 Million Miles to Earth",1957,Approved,"01 Jun 1957","82 min",,,USA,N/A,N/A,6.3,"3,521",80,5.9,N/A,"20 Million Miles to Earth",tt0050084,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:19 +0100"
70,"21 & Over",2013,R,"01 Mar 2013","93 min",,,USA,"1 win.",34,5.8,"41,378",28,4.1,"Though it strives to mimic The Hangover, 21 and Over is too predictable, too unabashedly profane, and too inconsistently funny to carry the torch.","21 & Over (film)",tt1711425,21_and_over,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:20 +0100"
71,21,2008,PG-13,"28 Mar 2008","123 min",,,USA,"1 win & 5 nominations.",48,6.8,"159,368",36,5.2,"21 could have been a fascinating study had it not supplanted the true story on which it is based with mundane melodrama.","21 (2008 film)",tt0478087,10009192-21,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:20 +0100"
